date,Civilization VI,GTA V,Rocket League,The Witcher 3
2015.09.03,,34769.0,25831.0,6952.0
2015.09.04,,37315.0,28094.0,7159.0
2015.09.05,,43633.0,29512.0,8844.0
2015.09.06,,43444.0,31348.0,10182.0
2015.09.07,,36483.0,32901.0,9510.0
2015.09.08,,32505.0,27087.0,7533.0
2015.09.09,,31655.0,26312.0,7158.0
2015.09.10,,31434.0,27132.0,7131.0
2015.09.11,,36167.0,31762.0,8037.0
2015.09.12,,44045.0,32677.0,11064.0
2015.09.13,,43809.0,34752.0,13692.0
2015.09.14,,33481.0,30895.0,10850.0
2015.09.15,,37485.0,27878.0,10229.0
2015.09.16,,35471.0,27333.0,9963.0
2015.09.17,,35636.0,27311.0,9752.0
2015.09.18,,37585.0,29902.0,9418.0
2015.09.19,,47429.0,31090.0,11537.0
2015.09.20,,47250.0,32039.0,12898.0
2015.09.21,,33992.0,28160.0,9745.0
2015.09.22,,33917.0,27368.0,9139.0
2015.09.23,,35007.0,26644.0,8537.0
2015.09.24,,33717.0,26443.0,8206.0
2015.09.25,,37946.0,28802.0,8045.0
2015.09.26,,43939.0,28441.0,10066.0
2015.09.27,,44416.0,30288.0,11627.0
2015.09.28,,34489.0,27005.0,8709.0
2015.09.29,,33651.0,24857.0,8193.0
2015.09.30,,34819.0,24043.0,7777.0
2015.10.01,,33519.0,24293.0,7585.0
2015.10.02,,36374.0,26908.0,7671.0
2015.10.03,,44447.0,28150.0,10077.0
2015.10.04,,45682.0,29259.0,11197.0
2015.10.05,,36681.0,27192.0,8094.0
2015.10.06,,36247.0,25617.0,7852.0
2015.10.07,,33832.0,27029.0,7874.0
2015.10.08,,33147.0,23510.0,7170.0
2015.10.09,,36541.0,25778.0,7185.0
2015.10.10,,46092.0,26300.0,11026.0
2015.10.11,,44942.0,26921.0,12762.0
2015.10.12,,34944.0,26790.0,11051.0
2015.10.13,,34406.0,29890.0,19852.0
2015.10.14,,33440.0,28192.0,17762.0
2015.10.15,,32900.0,26641.0,16342.0
2015.10.16,,40056.0,28981.0,15518.0
2015.10.17,,45837.0,29398.0,18879.0
2015.10.18,,47322.0,32121.0,20711.0
2015.10.19,,36140.0,28980.0,14771.0
2015.10.20,,57907.0,26811.0,12795.0
2015.10.21,,48554.0,29986.0,11850.0
2015.10.22,,47887.0,29891.0,11526.0
2015.10.23,,56985.0,30802.0,11476.0
2015.10.24,,64203.0,31194.0,14803.0
2015.10.25,,61503.0,31631.0,16411.0
2015.10.26,,46747.0,28851.0,11406.0
2015.10.27,,45112.0,26797.0,10283.0
2015.10.28,,46030.0,27878.0,9691.0
2015.10.29,,53637.0,27411.0,9335.0
2015.10.30,,65434.0,27852.0,9508.0
2015.10.31,,73795.0,26730.0,12776.0
2015.11.01,,76970.0,29821.0,15197.0
2015.11.02,,60977.0,27438.0,11570.0
2015.11.03,,60737.0,25639.0,10608.0
2015.11.04,,61763.0,25084.0,10200.0
2015.11.05,,57192.0,26397.0,9634.0
2015.11.06,,62779.0,27157.0,9456.0
2015.11.07,,73221.0,29720.0,12605.0
2015.11.08,,68379.0,29814.0,13820.0
2015.11.09,,46990.0,37477.0,9696.0
2015.11.10,,41267.0,27530.0,7298.0
2015.11.11,,40191.0,26294.0,7544.0
2015.11.12,,40530.0,25421.0,7042.0
2015.11.13,,48072.0,26614.0,6945.0
2015.11.14,,57703.0,27567.0,9086.0
2015.11.15,,55837.0,27917.0,9877.0
2015.11.16,,38979.0,25079.0,6898.0
2015.11.17,,35095.0,23532.0,6553.0
2015.11.18,,37876.0,24043.0,6022.0
2015.11.19,,36972.0,23932.0,6007.0
2015.11.20,,43405.0,25238.0,6052.0
2015.11.21,,51715.0,26006.0,7925.0
2015.11.22,,49697.0,26912.0,8811.0
2015.11.23,,35331.0,24774.0,6134.0
2015.11.24,,35454.0,23713.0,5861.0
2015.11.25,,34290.0,24963.0,5800.0
2015.11.26,,35372.0,27489.0,7054.0
2015.11.27,,43475.0,31841.0,8740.0
2015.11.28,,55497.0,32276.0,11496.0
2015.11.29,,56646.0,35289.0,13584.0
2015.11.30,,42743.0,32864.0,10514.0
2015.12.01,,43485.0,37684.0,10327.0
2015.12.02,,44363.0,32761.0,10008.0
2015.12.03,,43335.0,31251.0,9642.0
2015.12.04,,50527.0,33908.0,10505.0
2015.12.05,,60814.0,34951.0,14202.0
2015.12.06,,58285.0,35166.0,15643.0
2015.12.07,,42033.0,31143.0,11565.0
2015.12.08,,41307.0,29014.0,11178.0
2015.12.09,,38525.0,27102.0,10262.0
2015.12.10,,38404.0,27533.0,10026.0
2015.12.11,,48294.0,29301.0,10079.0
2015.12.12,,58526.0,30413.0,12706.0
2015.12.13,,55751.0,30995.0,13756.0
2015.12.14,,42424.0,31702.0,10231.0
2015.12.15,,70249.0,29851.0,9508.0
2015.12.16,,60246.0,28030.0,9042.0
2015.12.17,,62919.0,28018.0,8529.0
2015.12.18,,75375.0,29229.0,8796.0
2015.12.19,,84853.0,28809.0,10820.0
2015.12.20,,75261.0,30657.0,12099.0
2015.12.21,,64910.0,30710.0,9836.0
2015.12.22,,64727.0,32066.0,9358.0
2015.12.23,,60288.0,34575.0,11297.0
2015.12.24,,71567.0,32668.0,11007.0
2015.12.25,,70323.0,34992.0,13370.0
2015.12.26,,77678.0,39925.0,16258.0
2015.12.27,,80719.0,43174.0,18457.0
2015.12.28,,76519.0,44427.0,17614.0
2015.12.29,,78354.0,43938.0,17668.0
2015.12.30,,80913.0,44916.0,17692.0
2015.12.31,,81891.0,43034.0,16496.0
2016.01.01,,85031.0,43452.0,21373.0
2016.01.02,,93713.0,44697.0,22043.0
2016.01.03,,92488.0,45231.0,23474.0
2016.01.04,,79310.0,43965.0,19812.0
2016.01.05,,79444.0,41546.0,18442.0
2016.01.06,,76464.0,39143.0,17659.0
2016.01.07,,71385.0,39116.0,16837.0
2016.01.08,,77570.0,42452.0,16489.0
2016.01.09,,85627.0,42697.0,20122.0
2016.01.10,,83001.0,41604.0,21154.0
2016.01.11,,58979.0,41137.0,15886.0
2016.01.12,,58011.0,35909.0,14415.0
2016.01.13,,56419.0,34342.0,13399.0
2016.01.14,,55101.0,35661.0,12966.0
2016.01.15,,58430.0,38269.0,13021.0
2016.01.16,,68437.0,38186.0,16695.0
2016.01.17,,66632.0,39620.0,17771.0
2016.01.18,,51319.0,37951.0,14520.0
2016.01.19,,49213.0,34711.0,11881.0
2016.01.20,,49358.0,33004.0,11453.0
2016.01.21,,46797.0,34582.0,11041.0
2016.01.22,,52436.0,41612.0,11531.0
2016.01.23,,62933.0,45255.0,15056.0
2016.01.24,,63030.0,46548.0,16377.0
2016.01.25,,48542.0,42770.0,11729.0
2016.01.26,,47506.0,38986.0,10667.0
2016.01.27,,47770.0,37602.0,10169.0
2016.01.28,,51410.0,37127.0,9712.0
2016.01.29,,56600.0,37533.0,9789.0
2016.01.30,,65874.0,39387.0,12503.0
2016.01.31,,67514.0,40626.0,13918.0
2016.02.01,,50854.0,36548.0,10109.0
2016.02.02,,49580.0,34401.0,9547.0
2016.02.03,,49183.0,34839.0,9045.0
2016.02.04,,48620.0,37435.0,8755.0
2016.02.05,,52357.0,37475.0,8663.0
2016.02.06,,62024.0,40420.0,11953.0
2016.02.07,,62996.0,42253.0,14379.0
2016.02.08,,52129.0,38557.0,10809.0
2016.02.09,,53483.0,36933.0,10512.0
2016.02.10,,56129.0,36489.0,10182.0
2016.02.11,,57385.0,50853.0,9992.0
2016.02.12,,62381.0,50330.0,10501.0
2016.02.13,,73019.0,49972.0,13802.0
2016.02.14,,72060.0,49687.0,14808.0
2016.02.15,,59427.0,49864.0,11881.0
2016.02.16,,52471.0,42644.0,9982.0
2016.02.17,,56898.0,41399.0,9589.0
2016.02.18,,53080.0,40257.0,9201.0
2016.02.19,,56811.0,42002.0,8738.0
2016.02.20,,66238.0,43712.0,12063.0
2016.02.21,,67960.0,46428.0,13364.0
2016.02.22,,56793.0,41321.0,10084.0
2016.02.23,,55422.0,38179.0,9348.0
2016.02.24,,51729.0,39884.0,8981.0
2016.02.25,,53314.0,41698.0,8500.0
2016.02.26,,56593.0,44519.0,8765.0
2016.02.27,,65647.0,44912.0,11754.0
2016.02.28,,64399.0,46665.0,12789.0
2016.02.29,,48558.0,40377.0,9173.0
2016.03.01,,47071.0,39778.0,8282.0
2016.03.02,,46479.0,38161.0,8014.0
2016.03.03,,45767.0,40470.0,7806.0
2016.03.04,,54395.0,42603.0,7864.0
2016.03.05,,63757.0,44196.0,10608.0
2016.03.06,,60718.0,45521.0,11609.0
2016.03.07,,49046.0,41822.0,8523.0
2016.03.08,,47304.0,39847.0,7346.0
2016.03.09,,42663.0,37456.0,6887.0
2016.03.10,,42252.0,38312.0,6599.0
2016.03.11,,47548.0,42046.0,7067.0
2016.03.12,,57274.0,44521.0,9322.0
2016.03.13,,52883.0,45882.0,10412.0
2016.03.14,,40693.0,41681.0,7371.0
2016.03.15,,44472.0,39960.0,6894.0
2016.03.16,,44438.0,37416.0,6641.0
2016.03.17,,44496.0,38481.0,6552.0
2016.03.18,,51309.0,41432.0,6850.0
2016.03.19,,60957.0,41815.0,9275.0
2016.03.20,,59033.0,44985.0,10280.0
2016.03.21,,46344.0,40957.0,7361.0
2016.03.22,,46040.0,40350.0,6926.0
2016.03.23,,46433.0,40871.0,6781.0
2016.03.24,,51110.0,39665.0,6640.0
2016.03.25,,60623.0,40459.0,8105.0
2016.03.26,,65042.0,38139.0,8961.0
2016.03.27,,64581.0,39922.0,9458.0
2016.03.28,,61385.0,39828.0,8578.0
2016.03.29,,55106.0,35847.0,7009.0
2016.03.30,,55558.0,37520.0,6948.0
2016.03.31,,54063.0,37983.0,6697.0
2016.04.01,,56644.0,39389.0,6739.0
2016.04.02,,64136.0,42080.0,8760.0
2016.04.03,,65831.0,41323.0,10191.0
2016.04.04,,50110.0,37805.0,7116.0
2016.04.05,,49833.0,34501.0,6616.0
2016.04.06,,48765.0,35356.0,6458.0
2016.04.07,,48913.0,36683.0,6494.0
2016.04.08,,53640.0,39613.0,6527.0
2016.04.09,,61806.0,41975.0,8796.0
2016.04.10,,59533.0,42698.0,9798.0
2016.04.11,,45810.0,38523.0,7086.0
2016.04.12,,44879.0,33527.0,6096.0
2016.04.13,,43685.0,32501.0,5835.0
2016.04.14,,43130.0,34785.0,5923.0
2016.04.15,,48473.0,38461.0,6001.0
2016.04.16,,57201.0,37976.0,8386.0
2016.04.17,,54487.0,39469.0,9309.0
2016.04.18,,41783.0,37496.0,6873.0
2016.04.19,,43309.0,35394.0,6418.0
2016.04.20,,41951.0,35610.0,6208.0
2016.04.21,,42531.0,50975.0,6273.0
2016.04.22,,47898.0,81192.0,6416.0
2016.04.23,,55214.0,94823.0,8977.0
2016.04.24,,54633.0,103129.0,10348.0
2016.04.25,,40730.0,63307.0,7200.0
2016.04.26,,39514.0,70461.0,7015.0
2016.04.27,,41488.0,57493.0,6714.0
2016.04.28,,38718.0,56640.0,6695.0
2016.04.29,,41677.0,56081.0,6692.0
2016.04.30,,47599.0,56265.0,8525.0
2016.05.01,,48155.0,58139.0,9745.0
2016.05.02,,36942.0,48913.0,7420.0
2016.05.03,,37917.0,43296.0,6865.0
2016.05.04,,34641.0,46168.0,6372.0
2016.05.05,,33998.0,42838.0,6358.0
2016.05.06,,35992.0,39344.0,6146.0
2016.05.07,,40702.0,40709.0,7779.0
2016.05.08,,39378.0,41607.0,8635.0
2016.05.09,,32375.0,37988.0,6521.0
2016.05.10,,31373.0,42957.0,7373.0
2016.05.11,,32623.0,42731.0,8134.0
2016.05.12,,32313.0,43387.0,8233.0
2016.05.13,,37496.0,44945.0,8567.0
2016.05.14,,46874.0,45410.0,11012.0
2016.05.15,,44990.0,48806.0,12670.0
2016.05.16,,38283.0,43795.0,10266.0
2016.05.17,,34189.0,44225.0,9507.0
2016.05.18,,32856.0,41386.0,11379.0
2016.05.19,,33254.0,43698.0,12860.0
2016.05.20,,38200.0,45198.0,14355.0
2016.05.21,,44638.0,42889.0,18681.0
2016.05.22,,42989.0,47989.0,21946.0
2016.05.23,,33015.0,45241.0,17609.0
2016.05.24,,30367.0,39170.0,15474.0
2016.05.25,,30548.0,39944.0,15989.0
2016.05.26,,32045.0,39294.0,17082.0
2016.05.27,,36261.0,40827.0,17230.0
2016.05.28,,41493.0,38520.0,21384.0
2016.05.29,,40851.0,42003.0,24752.0
2016.05.30,,35192.0,41890.0,25371.0
2016.05.31,,33796.0,39283.0,48413.0
2016.06.01,,34306.0,38199.0,49512.0
2016.06.02,,36911.0,38501.0,46970.0
2016.06.03,,44694.0,39608.0,42838.0
2016.06.04,,52823.0,38979.0,50034.0
2016.06.05,,54099.0,40802.0,53645.0
2016.06.06,,46548.0,38956.0,39407.0
2016.06.07,,78286.0,39108.0,36230.0
2016.06.08,,73942.0,37799.0,34290.0
2016.06.09,,69799.0,38228.0,32726.0
2016.06.10,,69456.0,34999.0,29219.0
2016.06.11,,75041.0,38125.0,36387.0
2016.06.12,,77011.0,39416.0,39621.0
2016.06.13,,61301.0,38521.0,28336.0
2016.06.14,,58676.0,39203.0,26690.0
2016.06.15,,54068.0,38389.0,23714.0
2016.06.16,,51634.0,35294.0,24038.0
2016.06.17,,56102.0,37948.0,23862.0
2016.06.18,,57774.0,36487.0,29427.0
2016.06.19,,55003.0,40084.0,32376.0
2016.06.20,,45502.0,40242.0,23456.0
2016.06.21,,47806.0,55140.0,21814.0
2016.06.22,,48321.0,48622.0,20849.0
2016.06.23,,45081.0,45811.0,18806.0
2016.06.24,,50451.0,49410.0,20573.0
2016.06.25,,57608.0,48202.0,26363.0
2016.06.26,,60539.0,55782.0,31955.0
2016.06.27,,55515.0,53490.0,24838.0
2016.06.28,,58324.0,55361.0,25122.0
2016.06.29,,58062.0,53519.0,23859.0
2016.06.30,,57957.0,49446.0,22829.0
2016.07.01,,63108.0,47527.0,22673.0
2016.07.02,,67106.0,49710.0,27933.0
2016.07.03,,69866.0,52094.0,31198.0
2016.07.04,,63853.0,59141.0,29475.0
2016.07.05,,63961.0,53872.0,25362.0
2016.07.06,,61075.0,46217.0,22958.0
2016.07.07,,60084.0,44749.0,21674.0
2016.07.08,,61320.0,47319.0,20922.0
2016.07.09,,63031.0,45212.0,24742.0
2016.07.10,,63886.0,43616.0,26601.0
2016.07.11,,56122.0,49351.0,21171.0
2016.07.12,,71859.0,47370.0,19988.0
2016.07.13,,62847.0,45372.0,18892.0
2016.07.14,,61508.0,44910.0,18030.0
2016.07.15,,61490.0,42637.0,17078.0
2016.07.16,,63310.0,42490.0,20727.0
2016.07.17,,64464.0,47726.0,22591.0
2016.07.18,,57439.0,49931.0,17886.0
2016.07.19,,56879.0,48258.0,16292.0
2016.07.20,,54468.0,47597.0,15369.0
2016.07.21,,55189.0,46825.0,14917.0
2016.07.22,,57538.0,45464.0,14327.0
2016.07.23,,61035.0,43390.0,17487.0
2016.07.24,,62266.0,48031.0,19111.0
2016.07.25,,57331.0,48313.0,15184.0
2016.07.26,,57620.0,46146.0,14554.0
2016.07.27,,56855.0,45660.0,14099.0
2016.07.28,,57917.0,45528.0,13547.0
2016.07.29,,57753.0,43612.0,12986.0
2016.07.30,,58661.0,41922.0,16075.0
2016.07.31,,60901.0,47083.0,18283.0
2016.08.01,,55644.0,46260.0,14497.0
2016.08.02,,55635.0,45023.0,13357.0
2016.08.03,,53307.0,43644.0,12900.0
2016.08.04,,48432.0,43179.0,12465.0
2016.08.05,,52419.0,41739.0,11702.0
2016.08.06,,55328.0,42583.0,14389.0
2016.08.07,,56668.0,46581.0,16051.0
2016.08.08,,51498.0,46546.0,12594.0
2016.08.09,,51227.0,45890.0,12331.0
2016.08.10,,51389.0,44469.0,12005.0
2016.08.11,,50467.0,44309.0,11746.0
2016.08.12,,51639.0,41532.0,11167.0
2016.08.13,,54006.0,41711.0,13014.0
2016.08.14,,56259.0,45134.0,14962.0
2016.08.15,,53274.0,44887.0,12376.0
2016.08.16,,51534.0,43553.0,11354.0
2016.08.17,,51864.0,42872.0,11013.0
2016.08.18,,53659.0,43062.0,10961.0
2016.08.19,,54361.0,43036.0,10605.0
2016.08.20,,60530.0,44004.0,13587.0
2016.08.21,,63746.0,48031.0,15103.0
2016.08.22,,57664.0,45872.0,11788.0
2016.08.23,,57251.0,43232.0,10984.0
2016.08.24,,56771.0,43325.0,12053.0
2016.08.25,,54522.0,43615.0,12949.0
2016.08.26,,54615.0,43623.0,13580.0
2016.08.27,,59830.0,44864.0,16908.0
2016.08.28,,61492.0,48478.0,18906.0
2016.08.29,,55176.0,46476.0,14635.0
2016.08.30,,52858.0,43209.0,12436.0
2016.08.31,,48795.0,42052.0,12729.0
2016.09.01,,45963.0,39751.0,12369.0
2016.09.02,,48965.0,41988.0,12754.0
2016.09.03,,55202.0,43141.0,16334.0
2016.09.04,,54829.0,46008.0,18720.0
2016.09.05,,44832.0,46875.0,16776.0
